82184;-1.73;-52.23;PORTO DE MOZ;PA
82996;-9.18;-35.43;PORTO DE PEDRAS;AL
83064;-10.71;-48.41;PORTO NACIONAL;TO
83332;-14.1;-46.36;POSSE;GO
83358;-15.83;-54.38;POXOREO;MT
83716;-22.11;-51.38;PRESIDENTE PRUDENTE;SP
83097;-10.19;-36.86;PROPRIA;SE
82586;-5.16;-39.28;QUIXERAMOBIM;CE
82900;-8.05;-34.95;RECIFE (CURADO);PE
82979;-9.63;-42.1;REMANSO;BA
83738;-22.45;-44.43;RESENDE;RJ
82915;-9.96;-67.8;RIO BRANCO;AC
83743;-22.88;-43.18;RIO DE JANEIRO;RJ
83995;-32.03;-52.1;RIO GRANDE;RS
83470;-17.8;-50.91;RIO VERDE;GO
83373;-15.93;-47.88;RONCADOR;DF
83410;-16.45;-54.56;RONDONOPOLIS;MT
82106;-0.11;-67;S.G.DA CACHOEIRA(UAUPES);AM
82689;-6.75;-38.21;SAO GONCALO;PB
83441;-16.16;-42.3;SALINAS;MG
83229;-13;-38.5;SALVADOR (ONDINA);BA
83936;-29.7;-53.7;SANTA MARIA;RS
83997;-33.51;-53.35;SANTA VITORIA DO PALMAR;RS
83953;-30.83;-55.6;SANTANA DO LIVRAMENTO;RS
83726;-21.96;-47.86;SAO CARLOS;SP
82668;-6.63;-51.96;SAO FELIX DO XINGU;PA
82879;-8.35;-42.25;SAO JOAO DO PIAUI;PI
83920;-28.3;-49.93;SAO JOAQUIM;SC
83267;-13.43;-56.71;SAO JOSE DO RIO CLARO;MT
83736;-22.1;-45.01;SAO LOURENCO;MG
82280;-2.53;-44.21;SAO LUIS;MA
83907;-28.4;-55.01;SAO LUIZ GONZAGA;RS
83550;-18.7;-39.85;SAO MATEUS;ES
83781;-23.5;-46.61;SAO PAULO(MIR.de SANTANA);SP
83631;-20.91;-47.11;SAO S.DO PARAISO;MG
83669;-21.48;-47.55;SAO SIMAO;SP
83088;-10.46;-40.18;SENHOR DO BONFIM;BA
82690;-6.46;-37.08;SERIDO (CAICO);RN
83190;-11.63;-38.96;SERRINHA;BA
83586;-19.46;-44.25;SETE LAGOAS;MG
82392;-3.73;-40.33;SOBRAL;CE
83851;-23.48;-47.43;SOROCABA;SP
82141;-0.73;-48.51;SOURE;PA
83076;-11.01;-44.51;STa. R. DE CASSIA (IBIPETUBA);BA
82797;-7.83;-35.71;SURUBIM;PE
83235;-12.4;-46.41;TAGUATINGA;TO
82807;-8.16;-70.76;TARAUACA;AC
82683;-6;-40.41;TAUA;CE
83784;-23.03;-45.55;TAUBATE;SP
82317;-3.83;-64.7;TEFE;AM
82578;-5.08;-42.81;TERESINA;PI
83948;-29.35;-49.73;TORRES;RS
82807;-8.16;-70.76;TRACUATEUA;AC
82789;-7.81;-38.11;TRIUNFO;PE
82361;-3.76;-49.66;TUCURUI;PA
82198;-1.56;-45.36;TURIACU;MA
83577;-19.73;-47.95;UBERABA;MG
83428;-16.36;-46.55;UNAI;MG
83927;-29.75;-57.08;URUGUAIANA;RS
83923;-28.51;-49.31;URUSSANGA;SC
82870;-8.41;-43.71;VALE DO GURGUEIA (CRISTIANO CASTRO);PI
83642;-20.75;-42.85;VICOSA;MG
83648;-20.31;-40.31;VITORIA;ES
83344;-14.88;-40.79;VITORIA DA CONQUISTA;BA
83623;-20.41;-49.98;VOTUPORANGA;SP
82376;-3.26;-45.65;ZE DOCA;MA
